title,link,occupation,companie,spec,location
Production Engineer (Blown Film),https://wuzzuf.net/jobs/p/7aw8ktm0f32m-production-engineer-blown-film-aldawlia-for-plastic-materials-sharqia-egypt,Full TimeOn-site,Aldawlia For Plastic Materials -,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering - Other · Plastic Extrusion · Plastics Engineering · Manufacturing Industry · Mechanical Engineering · Microsoft Office · Manufacturing · Production,"10th of Ramadan City, Sharqia, Egypt "
Production Engineer,https://wuzzuf.net/jobs/p/s1pw6uzhkn3m-production-engineer-sharqia-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering - Other · Engineering · Production process optimization · Manufacturing engineering · Problem-solving · Team collaboration · Process improvement · Data analysis,"10th of Ramadan City, Sharqia, Egypt "
Warehouse Supervisor,https://wuzzuf.net/jobs/p/118g3djskyp3-warehouse-supervisor-healthcare-international-red-sea-egypt,Full TimeOn-site,HealthCare International -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Inventory Control · Warehouse Management · Team Leadership · Logistics Coordination · Process Improvement · Safety Compliance · Problem Solving · Communication · Time Management,"Hurghada, Red Sea, Egypt "
warehouse manager,https://wuzzuf.net/jobs/p/re6grb0gduhf-warehouse-manager-sofipack-cairo-egypt,Full TimeOn-site,sofipack  -,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · males_only · Operations/Management · Inventory Management · Warehouse Operations · Team Leadership & Staff Supervision · Time Management & Prioritization · Reporting & Data Analysis · Communication & Interpersonal Skills · ERP Systems ( SAP ),"Badr City, Cairo, Egypt "
Procurement Manager,https://wuzzuf.net/jobs/p/vvs8a8nnjyv7-procurement-manager-leo-rugs-cairo-egypt,Full TimeOn-site,Leo Rugs -,Full TimeOn-siteManager · 5+ Yrs of Exp · Purchasing/Procurement · Procurement Management · Contract Management · Negotiation · Supplier Relationship Management · Strategic Sourcing · Supply Chain Optimization · Data Analysis · Team Leadership · Budget Management,"Cairo, Egypt "
Dispo Manager - U.S. Real Estate (Remote),https://wuzzuf.net/jobs/p/eyikm8dhzgys-dispo-manager-us-real-estate-remote-casa-one-residential-alexandria-egypt,Full TimeRemote,CASA One Residential -,Full TimeRemoteExperienced · 1+ Yrs of Exp · Business Development · Operations/Management · Sales/Retail · Real Estate Dispositions · Sales Negotiation · Relationship Building · Market Analysis · Contract Management · CRM Proficiency · Remote Work,"Alexandria, Egypt "
Material Planning Lead,https://wuzzuf.net/jobs/p/foeqxqvq4gzm-material-planning-lead-arma-hsa-cairo-egypt,Full TimeOn-site,Arma-HSA -,Full TimeOn-siteManager · 5 - 7 Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production · Engineering - Mechanical/Electrical · Material Planning · Supply Chain Management · ERP/MRP Systems · Data Analysis · Forecasting · Cross-functional Collaboration · Problem Solving,"Cairo, Egypt "
Senior Performance Marketing specialist (E-Commerce),https://wuzzuf.net/jobs/p/3ejgdcexv4rv-senior-performance-marketing-specialist-e-commerce-outservingplus-cairo-egypt,Full TimeOn-site,Outservingplus -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Performance Marketing · E-Commerce Marketing · Digital Campaign Management · Budget Management · Google Ads · Facebook Ads Manager · Data Analysis,"Cairo, Egypt "
Senior ASO/SEO Specialist,https://wuzzuf.net/jobs/p/whuofopzx5hm-senior-asoseo-specialist-madar-soft-alexandria-egypt,Full TimeRemote,Madar Soft -,Full TimeRemoteExperienced · 5+ Yrs of Exp · Marketing/PR/Advertising · App Store Optimization · Search Engine Optimization · SEO · Keyword Research and Analysis · Market Research and Competition Analysis · Performance Marketing · Data Analytics · Content Optimization · Google Analytics,"Fleming, Alexandria, Egypt "
Operation Specialist,https://wuzzuf.net/jobs/p/cehbpm2f8nsm-operation-specialist-ame-group-cairo-egypt,Full TimeOn-site,AME GROUP -,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · Operations/Management · Operations Management · Facility Management · Process Improvement · Project Coordination · Analytical Thinking · Team Leadership · Communication · Problem Solving · Time Management,"Madinaty, Cairo, Egypt "
Area Supervisor,https://wuzzuf.net/jobs/p/q8uuhky51lmn-area-supervisor-junior-tex-cairo-egypt,Full TimeHybrid,Junior-Tex -,Full TimeHybridManager · 3 - 5 Yrs of Exp · Operations/Management · Operational Management · Team Leadership · Time Management · Process Improvement · Adaptability · Communication · Data Analysis · Conflict Resolution · Customer Service,"Cairo, Egypt "
English Speaking Admin Assistant / Sales Support,https://wuzzuf.net/jobs/p/wazvvesb9bhv-english-speaking-admin-assistant-sales-support-pharris-real-estate-enterprises-richmond-united-states,Full TimeRemote,Pharris Real Estate Enterprises -,Full TimeRemoteExperienced · 2+ Yrs of Exp · Administration · Customer Service/Support · Sales/Retail · Administration · Marketing · Financial Data Analysis · Communication · Customer Service,"Richmond, United States "
Commercial and Vendor Acquisition Specialist (Ecommerce),https://wuzzuf.net/jobs/p/otwxfui9hmwy-commercial-and-vendor-acquisition-specialist-ecommerce-outservingplus-cairo-egypt,Full TimeOn-site,Outservingplus -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Logistics/Supply Chain · Analyst/Research · Sales/Retail · Sales · Sales Target · Commercial Sales · Ecommerce Strategy · Business Development · Market Analysis · Negotiation,"Cairo, Egypt "
Financial Planning & Analysis Senior Manager,https://wuzzuf.net/jobs/p/teypq3i7ij5e-financial-planning-analysis-senior-manager-minlo-cairo-egypt,Full TimeOn-site,Minlo -,Full TimeOn-siteManager · 15+ Yrs of Exp · Accounting/Finance · Budgeting · CMA · Finance · Financial Analysis · Financial Management · Manufacturing · MBA · Planning · P&L,"Heliopolis, Cairo, Egypt "
Engineering Economy Analyst (Assistant CEO),https://wuzzuf.net/jobs/p/b0sf5tzgijdw-engineering-economy-analyst-assistant-ceo-alahram-cookware-alexandria-egypt,Full TimeOn-site,Alahram Cookware -,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · males_preferred · Operations/Management · Project/Program Management · Analyst/Research · Power BI · ERP Systems · Financial Modeling · Strategic Thinking · Data Analysis · Report Writing · Critical Thinking,"Agami, Alexandria, Egypt "
Production Manager - Furniture,https://wuzzuf.net/jobs/p/l0uw263mjn39-production-manager-furniture-mrhome-cairo-egypt,Full TimeOn-site,Mrhome -,Full TimeOn-siteManager · 5 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Operations/Management · Manufacturing/Production · Production Management · Communication · Quality Assurance · Data Analysis · Process Optimization · Project Coordination,"New Cairo, Cairo, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/sj21s8nashvz-data-analyst-elite-cairo-egypt,Full TimeOn-site,Elite -,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Writing/Editorial · IT/Software Development · Analyst/Research · Microsoft Excel · Computer Skills · English Translation · data analyst · SQL · Microsoft SQL Server · SQL Server,"New Cairo, Cairo, Egypt "
AR & Inventory Accountant,https://wuzzuf.net/jobs/p/wem3pwb3uq1p-ar-inventory-accountant-enaya-care-international-company-for-beauty-comfort-riyadh-saudi-arabia,Full TimeRemote,ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY & COMFORT -,Full TimeRemoteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Accounts Receivable Management · Inventory Control · ERP/Accounting Software · Microsoft Excel · Data Analysis,"Riyadh, Saudi Arabia "
Sales Team leader,https://wuzzuf.net/jobs/p/kymyiy1mqsu2-sales-team-leader-el-kheta-alexandria-egypt,Full TimeOn-site,EL KHETA -,Full TimeOn-siteManager · 5 - 7 Yrs of Exp · Sales/Retail · sales teamleader · Sales Leadership · Customer Relationship Management (CRM) · Negotiation · Communication · Coaching and Mentoring · Team Management · Business Development · Account Management,"San Stefano, Alexandria, Egypt "
Senior Payroll Specialist,https://wuzzuf.net/jobs/p/jznxg54j4hvn-senior-payroll-specialist-outservingplus-giza-egypt,Full TimeOn-site,Outservingplus -,Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Human Resources · Payroll Processing · Payroll Compliance · Payroll Software · Data Analysis · Attention to Detail · Problem Solving · Time Management · Communication · Confidentiality,"6th of October, Giza, Egypt "
Production Analyst,https://wuzzuf.net/jobs/p/uljatoqggrg7-production-analyst-misr-elhegaz-group-sharqia-egypt,Full TimeOn-site,Misr Elhegaz Group -,Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Manufacturing/Production · Production Analysis · Production Planning,"10th of Ramadan City, Sharqia, Egypt "
MRP Engineer,https://wuzzuf.net/jobs/p/fkeaxpluvoch-mrp-engineer-alahram-cookware-alexandria-egypt,Full TimeOn-site,Alahram Cookware -,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production · Engineering - Other · Supply Chain · Problem Solving · Forecasting · Data Analysis · Inventory Management · MRP,"Agami, Alexandria, Egypt "
Accountant and Data Entry,https://wuzzuf.net/jobs/p/gtshkmxhydog-accountant-and-data-entry-havanas-secret-giza-egypt,Full TimeOn-site,Havana's Secret -,Full TimeOn-siteEntry Level · Accounting/Finance · Administration · Customer Service/Support · Data Entry · Administration · Communication · Customer Service · Management · Microsoft Office · office,"6th of October, Giza, Egypt "
Senior Accountant,https://wuzzuf.net/jobs/p/e59u1tjinzea-senior-accountant-mobility-pro-dmcc-alexandria-egypt,Full TimeOn-site,Mobility Pro DMCC -,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Accounting/Finance · Administration · Banking · Accounting · Financial Accounting · Finance Analysis · ERP · Microsoft Excel · Financial Data Analysis,"Azarita, Alexandria, Egypt "
Head Of Humanities Department (American Division),https://wuzzuf.net/jobs/p/zzzd94rmhwg0-head-of-humanities-department-american-division-manhattan-schools-cairo-egypt,Full TimeOn-site,Manhattan Schools -,Full TimeOn-siteSenior Management · 2 - 5 Yrs of Exp · Education/Teaching · Curriculum Development · Educational Leadership · Communication · Student Assessment · Conflict Resolution · Team Management · Instructional Coaching · Event Planning · Problem-Solving,"Maadi, Cairo, Egypt "
Talent Acquisition Supervisor,https://wuzzuf.net/jobs/p/0yynaha6umre-talent-acquisition-supervisor-sandah-for-micro-finance-giza-egypt,Full TimeOn-site,Sandah for micro finance -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Human Resources · Talent Acquisition & Recruitment · Mass Hiring & Bulk Recruitment Campaigns · Job Analysis & Job Description Writing · Candidate Sourcing · Onboarding & Employer Branding · Organizational Development Support,"Agouza, Giza, Egypt "
Junior Cost Accountant,https://wuzzuf.net/jobs/p/okbigqtuoxt5-junior-cost-accountant-kig-konnice-sharqia-egypt,Full TimeOn-site,KIG Konnice -,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Accounting/Finance · Analyst/Research · Cost Accounting · Financial Analysis · Data Entry · Variance Analysis · Budgeting · Attention to Detail · Time Management · Excel,"10th of Ramadan City, Sharqia, Egypt "
Analyst - Voice of Customer Platform,https://wuzzuf.net/jobs/p/1ey16pjh5o2o-analyst-voice-of-customer-platform-alshaya-cairo-egypt,Full TimeOn-site,Alshaya -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Customer Service/Support · Analyst/Research · Analyst · Analysis · Platform Management · Customer Voice · Voice of Customer · Medallia · Quality Management System · Qualtrics,"Nasr City, Cairo, Egypt "
Cost Accountant,https://wuzzuf.net/jobs/p/b0gxi01wnxt9-cost-accountant-abu-gemeaa-cairo-egypt,Full TimeOn-site,Abu Gemeaa -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Cost Accounting · Cost Analysis · Microsoft Office,"New Cairo, Cairo, Egypt "
Business Solution Team Leader,https://wuzzuf.net/jobs/p/y46no2unbjzv-business-solution-team-leader-khales-giza-egypt,Full TimeOn-site,Khales -,Full TimeOn-siteExperienced · 6 - 8 Yrs of Exp · Business Development · Analyst/Research · Engineering - Telecom/Technology · Team Leadership · Business Analysis · Project Management · Process Improvement · Stakeholder Management · Strategic Planning · Problem Solving,"Giza, Egypt "
Business Solution Senior Engineer,https://wuzzuf.net/jobs/p/uiipqsscvadx-business-solution-senior-engineer-khales-giza-egypt,Full TimeOn-site,Khales -,Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Solution Architecture · Systems Integration · Technical Leadership · Process Optimization · Stakeholder Management · Troubleshooting,"Giza, Egypt "
Product Owner (Application-Specific Focus),https://wuzzuf.net/jobs/p/aza58wkquue5-product-owner-application-specific-focus-advanced-solutions-cairo-egypt,Full TimeOn-site,Advanced Solutions -,Full TimeOn-siteExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Operations/Management · Project/Program Management · Product Management · business · PMP · Product Owner (Application-Specific Focus) · Product Owner · Business Analysis · Management,"Nasr City, Cairo, Egypt "
Senior Fixed Assets Accountant,https://wuzzuf.net/jobs/p/madcxjocstam-senior-fixed-assets-accountant-eagle-chemicals-giza-egypt,Full TimeOn-site,Eagle Chemicals -,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · assets · Budgeting · Finance · Financial Analysis · Financial Management · Fixed Assets · Management · Industrial,"6th of October, Giza, Egypt "
Quality Assurance Executive,https://wuzzuf.net/jobs/p/ho5iyenhgj8x-quality-assurance-executive-lumiere-clinics-alexandria-egypt,Full TimeOn-site,lumiere clinics -,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Medical/Healthcare · Quality · Quality Assurance · Process Improvement · Regulatory Compliance · Audit and Inspection · Root Cause Analysis · Report Writing · Training and Development · Cross-functional Collaboration,"Glim, Alexandria, Egypt "
Power BI Analyst / Developer,https://wuzzuf.net/jobs/p/j0as7yoo3svn-power-bi-analyst-developer-evision-cairo-egypt,Full TimeOn-site,eVision -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · BI · Computer Science · Database · Information Technology (IT) · Power BI · Analysis · Data Warehousing,"New Cairo, Cairo, Egypt "
Financial Analyst – Retail,https://wuzzuf.net/jobs/p/ytds4wiyfum5-financial-analyst-retail-union-group-cairo-egypt,Full TimeOn-site,Union Group -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Budgeting and Forecasting · Financial Analysis · Financial Reporting · ERP Systems (SAP/Oracle) · Retail Operations Knowledge,"Obour City, Cairo, Egypt "
General Services Operations Specialist,https://wuzzuf.net/jobs/p/rz2tlho3fyhh-general-services-operations-specialist-grifols-egypt-for-plasma-derivatives-cairo-egypt,Full TimeOn-site,Grifols Egypt for Plasma Derivatives -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Administration · Facility Management · Data Analysis · Power BI · Microsoft Excel,"New Capital, Cairo, Egypt "
Total Rewards Manager,https://wuzzuf.net/jobs/p/mzwphfbxfibh-total-rewards-manager-savola-cairo-egypt,Full TimeOn-site,SAVOLA -,Full TimeOn-siteManager · 8 - 12 Yrs of Exp · Human Resources · Total Rewards Strategy · Compensation Analysis · Market Benchmarking · Vendor Management,"New Cairo, Cairo, Egypt "
Chief Accountant,https://wuzzuf.net/jobs/p/vyjmbafvzkd2-chief-accountant-knoz-elhekma-company-cairo-egypt,Full TimeOn-site,Knoz Elhekma Company -,Full TimeOn-siteManager · 8 - 12 Yrs of Exp · Accounting/Finance · Banking · Accounting · Account Management · Financial Accounting · Financial Management · Financial Analysis · Payable Accounting · Cost Accounting,"Sheraton, Cairo, Egypt "
Quality Assurance Specialist - Call Center,https://wuzzuf.net/jobs/p/z5vgorbwpr1m-quality-assurance-specialist-call-center-danat-travels-cairo-egypt,Full TimeOn-site,Danat Travels  -,Full TimeOn-siteExperienced · 2+ Yrs of Exp · males_only · Quality · Communication · Customer Service · Environment · Performance · QA · quality · Quality Assurance · Quality Control · Travel,"Nasr City, Cairo, Egypt "
Internal Auditor Section Head,https://wuzzuf.net/jobs/p/v9ufbyzsyt2d-internal-auditor-section-head-elsaba-autoservice-cairo-egypt,Full TimeOn-site,Elsaba AutoService -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Auditing · Accounting · IFRS · Finance · Financial Analysis · English · Commerce · Financial Auditor · Financial Management,"Mokattam, Cairo, Egypt "
Operative Marketing Specialist,https://wuzzuf.net/jobs/p/ppte6il9vpt3-operative-marketing-specialist-prometeon-tyres-group-egypt-alexandria-egypt,Full TimeOn-site,Prometeon tyres group – Egypt -,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing campaign execution · Data analysis · Multitasking · Problem Solving · Creative Thinking · MS Office · Microsoft Office suite,"Alexandria, Egypt "
Sales Supervisor,https://wuzzuf.net/jobs/p/dbjamxk4e9sn-sales-supervisor-orthomedics-cairo-egypt,Full TimeOn-site,Orthomedics -,Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Customer Service/Support · Medical/Healthcare · Sales/Retail · Sales Leadership · Strategic Planning · Team Management · Negotiation · Communication · Problem-Solving · Time Management,"Cairo, Egypt "
Senior Accountant - F&B,https://wuzzuf.net/jobs/p/bu6lfizjovwf-senior-accountant-fb-sky-restaurants-giza-egypt,Full TimeOn-site,Sky Restaurants -,Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Accounting/Finance · Banking · Customer Service/Support · Accounting · Finance · Financial Analysis · restaurant · office · Microsoft Office · Financial Reporting,"Sheikh Zayed, Giza, Egypt "
Sr. Cost Control ( F&B),https://wuzzuf.net/jobs/p/il1c7hl0gs4s-sr-cost-control-fb-outservingplus-cairo-egypt,Full TimeOn-site,Outservingplus -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Engineering - Construction/Civil/Architecture · Project/Program Management · Cost Control · Financial Analysis · Inventory Management · Budgeting · Data Analysis · F&B Operations · Reporting,"Cairo, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/dqsjptbm3mpt-data-analyst-naturub-accessories-egypt-pvt-ltd-ismailia-egypt,Full TimeOn-site,Naturub Accessories Egypt Pvt Ltd  -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Other · Analyst/Research · Analysis · analytical · Data Analysis · Data Analyst · Analyst,"Ismailia, Ismailia, Egypt "
Product Manager - Mesotherapy Specialty,https://wuzzuf.net/jobs/p/exzpn1e2ss7d-product-manager-mesotherapy-specialty-doctor-health-advertising-and-medical-supplies-company-giza-egypt,Full TimeOn-site,Doctor Health Advertising and Medical Supplies Company -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · females_preferred · R&D/Science · Marketing/PR/Advertising · Medical/Healthcare · Product Lifecycle Management · Market Research & Analysis · Project Management · Strategic Planning · Product Launch & Go-to-Market · Customer Relationship Management,"Haram, Giza, Egypt "
Costing section head,https://wuzzuf.net/jobs/p/uveibrzyb77j-costing-section-head-chema-foam-sharqia-egypt,Full TimeOn-site,Chema Foam -,Full TimeOn-siteExperienced · 7 - 9 Yrs of Exp · Accounting/Finance · Cost Accounting · Budgeting and Forecasting · Inventory Management · Process Improvement · Financial Analysis · ERP Systems · Team Leadership · Communication · Problem Solving,"10th of Ramadan City, Sharqia, Egypt "
Q.A IPC Officer,https://wuzzuf.net/jobs/p/3ltjy30g5ad5-qa-ipc-officer-apex-pharma-cairo-egypt,Full TimeOn-site,APEX Pharma -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · R&D/Science · Quality · Pharmaceutical · IPC · Pharmaceutical · Analysis · Compliance · Data Analysis · Science,"Badr City, Cairo, Egypt "
Accountant (Odoo & Excel Specialist),https://wuzzuf.net/jobs/p/1egryopyu2fw-accountant-odoo-excel-specialist-dimofinf-operations-center-cairo-egypt,Full TimeOn-site,Dimofinf Operations Center -,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · accountant · Accounting · analytical · Communication · ERP · excel · Finance · Odoo · Odoo ERP,"Nasr City, Cairo, Egypt "
Talent Acquisition Lead,https://wuzzuf.net/jobs/p/jhdhu9ixabjt-talent-acquisition-lead-allianz-cairo-egypt,Full TimeOn-site,Allianz -,Full TimeOn-siteManager · 5 - 7 Yrs of Exp · Human Resources · Talent Acquisition · Recruitment Strategy · Employer Branding · Sourcing Techniques · Data Analysis · Communication · Interviewing · Business Administration,"New Cairo, Cairo, Egypt "
Senior Accountant,https://wuzzuf.net/jobs/p/xjumuugk2qvc-senior-accountant-sprints-ai-cairo-egypt,Full TimeOn-site,Sprints.ai -,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Accounting/Finance · Banking · Accounts Payable · Communication skills · CPA · Microsoft Excel · Financial Reporting · Financial Management · Accounting · Tax,"Maadi, Cairo, Egypt "
Cost Accountant,https://wuzzuf.net/jobs/p/9i0ogjllsbts-cost-accountant-alazima-alexandria-egypt,Full TimeOn-site,ALAZIMA -,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Accounting/Finance · Accounting · Financial Accounting · Cost Accounting · Accounting Reports · ERP System · Financial Analysis · ERP Systems · Budgeting and Forecasting · Inventory Management,"Alexandria, Egypt "
Cost Accountant,https://wuzzuf.net/jobs/p/gjs7q4bbp0qf-cost-accountant-milkys-the-milkman-giza-egypt,Full TimeOn-site,Milkys - The Milkman -,Full TimeOn-siteExperienced · 2+ Yrs of Exp · Accounting/Finance · accountant · Accounting · Cost · Budgeting · Cost Accounting · Financial Analysis · excel · Cost Accountant · Finance,"Sheikh Zayed, Giza, Egypt "
Social Media Specialist,https://wuzzuf.net/jobs/p/6yjzowqvt46c-social-media-specialist-nxtep-giza-egypt,Full TimeOn-site,NXTEP -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Social Media Management · Content Creation · Digital Marketing · Analytics and Reporting · Community Engagement · Copywriting · Paid Social Advertising · Influencer Outreach,"6th of October, Giza, Egypt "
Accounting Supervisor,https://wuzzuf.net/jobs/p/upeongr6alyu-accounting-supervisor-alexandria-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · males_only · Accounting/Finance · Banking · Accounting · CMA · CPA · Finance · Financial Analysis · Financial Management · Accounting Supervisor · Computer Skills,"Alexandria, Egypt "
Financial Manager,https://wuzzuf.net/jobs/p/2elzswumwnin-financial-manager-kud-giza-egypt,Full TimeOn-site,KUD  -,Full TimeOn-siteManager · 10 - 20 Yrs of Exp · Accounting/Finance · Budgeting and forecasting · Financial analysis · Cash flow management · Financial reporting · Regulatory compliance · Leadership · Problem-solving · Financial software proficiency · Analytical thinking,"Giza, Giza, Egypt "
Automation Engineer,https://wuzzuf.net/jobs/p/m1afnxrtu3eb-automation-engineer-kandil-steel-cairo-egypt,Full TimeOn-site,Kandil Steel -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Engineering - Telecom/Technology · Problem Solving · Problem Analysis · Communication,"10th of Ramadan City, Cairo, Egypt "
Procurement Engineer,https://wuzzuf.net/jobs/p/urlmue75xye7-procurement-engineer-royal-herbs-giza-egypt,Full TimeOn-site,Royal Herbs  -,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · males_only · Purchasing/Procurement · Engineering - Mechanical/Electrical · Procurement Management · Negotiation · Supplier Evaluation · Supply Chain Coordination · Data Analysis · ERP Systems · Contract Management · Communication,"Haram, Giza, Egypt "
Sales Administrator,https://wuzzuf.net/jobs/p/zcpc7hyyyjpa-sales-administrator-kts-international-cairo-egypt,Full TimeOn-site,KTS International    -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Administration · Analyst/Research · Sales/Retail · CRM Management · Sales Administration · Communication · Problem-Solving · Research Analysis,"New Nozha, Cairo, Egypt "
Senior Internal Audit - Consumer Finance,https://wuzzuf.net/jobs/p/xqg7djj6hma9-senior-internal-audit-consumer-finance-aman-cairo-egypt,Full TimeOn-site,Aman  -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Operations/Management · Quality · Internal Auditing · Risk Assessment · Consumer Finance · Financial Analysis · Regulatory Compliance · Report Writing · Process Improvement,"Cairo, Egypt "
Organizational Performance Analyst,https://wuzzuf.net/jobs/p/dbtrtuhxa6gd-organizational-performance-analyst-giza-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Analyst/Research · Reporting · Analysis,"Giza, Egypt "
Sales Manager,https://wuzzuf.net/jobs/p/kyedhpbyn0ii-sales-manager-future-way-for-training-it-alexandria-egypt,Full TimeOn-site,Future Way For Training & IT -,Full TimeOn-siteManager · 3+ Yrs of Exp · males_preferred · Operations/Management · Sales/Retail · Sales · Sales Target · Sales Planning · Sales Strategy · Team Leadership · Business Development · Negotiation · Market Analysis,"Stanley, Alexandria, Egypt "
Sales Manager (fashion),https://wuzzuf.net/jobs/p/piiiz4bt4sxp-sales-manager-fashion-alberto-cairo-egypt,Full TimeOn-site,Alberto -,Full TimeOn-siteExperienced · 5 - 15 Yrs of Exp · females_only · Customer Service/Support · Sales/Retail · Fashion · Sales Strategy · Negotiation · Customer Relationship Management · Problem Solving · Fashion Industry Knowledge · Team Leadership · Communication,"New Nozha, Cairo, Egypt "
WMS Specialist,https://wuzzuf.net/jobs/p/jfr8699dxfeo-wms-specialist-marbella-for-food-industry-giza-egypt,Full TimeOn-site,Marbella For Food Industry  -,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Operations/Management · Inventory Control · Process Improvement · Warehouse Management Systems (WMS) · Data Analysis,"6th of October, Giza, Egypt "
Electrical Maintenance Engineer,https://wuzzuf.net/jobs/p/ik87lbotctul-electrical-maintenance-engineer-elsewedy-electric-cairo-egypt,Full TimeOn-site,Elsewedy Electric -,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical · Preventive maintenance · Electrical troubleshooting · Root cause analysis · Team collaboration · Safety compliance · PLC programming · Siemens PLC,"10th of Ramadan City, Cairo, Egypt "
Mechanical Maintenance Engineer,https://wuzzuf.net/jobs/p/7bxvihsxhuwz-mechanical-maintenance-engineer-elsewedy-electric-cairo-egypt,Full TimeOn-site,Elsewedy Electric -,Full TimeOn-siteExperienced · 2 - 6 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical · Troubleshooting · Mechanical maintenance · Root cause analysis · Preventive maintenance · Equipment reliability · Technical documentation · Team collaboration,"10th of Ramadan City, Cairo, Egypt "
Freight Forwarder,https://wuzzuf.net/jobs/p/xluslgxfnltw-freight-forwarder-link-masr-giza-egypt,Full TimeOn-site,Link-Masr  -,Full TimeOn-siteEntry Level · 1 - 7 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Freight Forwarding · Logistics Coordination · Documentation Management · Multitasking · Negotiation · Customer Service · Attention to Detail · Data Analysis,"6th of October, Giza, Egypt "
Senior Accountant - Manufacturing background,https://wuzzuf.net/jobs/p/brhmgsmg1qc8-senior-accountant-manufacturing-background-shrkh-tnta-motorz-gharbia-egypt,Full TimeOn-site,شركه طنطا موتورز -,Full TimeOn-siteExperienced · 7 - 10 Yrs of Exp · males_only · Accounting/Finance · Manufacturing/Production · Accounting · Finance · indutrial · Commercial Sales · Financial Analysis · Financial Management · Cost Accounting · Budgeting and Forecasting,"Tanta, Gharbia, Egypt "
